Побережье Белого и Баренцева морей;0,4;0,35;130;1,33
Север Европейской части России и Западной Сибири;0,62;0,48;120;1,33
Равнинные области запада и центра Европейской части России;0,71;0,59;150;1,54
Равнинные области Украины;0,71;0,64;110;1,54
Возвышенности Европейской части России, западный склон Урала;0,71;0,59;150;1,54
Восток Украины, низовье Волги и Дона, Южный Крым;0,67;0,57;60;1,82
Нижнее Поволжье;0,65;0,66;50;2
Наветренные склоны возвышенностей Европейской части России и Северное Предкавказье;0,7;0,66;70;1,54
Ставропольская возвышенность, северные предгорья Большого Кавказа, северный склон Большого Кавказа;0,63;0,56;100;1,82
Южная часть Западной Сибири, среднее течение р. Или, район оз. Ате-Куль;0,72;0,58;80;1,54
Центральный и Северо-Восточный Казахстан;0,74;0,66;80;1,82
Северные склоны Западных Саян, Заилийского Алатау;0,57;0,57;80;1,33
Джунгарский Алатау, Алтай;0,61;0,48;140;1,33
Северный склон Западных Саян;0,49;0,33;100;1,54
Средняя Сибирь;0,69;0,47;130;1,54
Хребет Хамар-Дабан;0,48;0,36;130;1,82
Восточная Сибирь;0,6;0,52;90;1,54
Бассейны рек Шилки и Аргуни, долина р. Среднего Амура;0,65;0,54;100;1,54
Бассейны рек Охотского моря и Колымы, северная часть Нижнеамурской низменности;0,36;0,48;100;1,54
Побережье Охотского моря, бассейны рек Берингова моря, центральная и западная части Камчатки;0,36;0,31;80;1,54
Восточное побережье Камчатки южнее 56° с. ш.;0,28;0,26;110;1,54
Побережье Татарского пролива;0,35;0,28;110;1,54
Район оз. Ханка;0,65;0,57;90;1,54
Бассейны рек Японского моря, о. Сахалин, Курильские острова;0,45;0,44;110;1,54
Юг Казахстана, равнина Средней Азии и склоны гор до 1500 м, бассейн оз. Иссык-Куль до 2500 м;0,44;0,4;40;1,82
Склоны гор Средней Азии на высоте 1500 - 3000 м;0,41;0,37;40;1,54
Юго-Западная Туркмения;0,49;0,32;20;1,54
Черноморское побережье и западный склон Большого Кавказа до г. Сухуми;0,62;0,58;90;1,54
Побережье Каспийского моря и равнина от г. Махачкалы до г. Баку;0,51;0,43;60;1,82
Восточный склон Большого Кавказа, Кура-Араксинская низменность до 500 м;0,58;0,47;70;1,82
Южный склон Большого Кавказа выше 1500 м, южный склон выше 500 м, Дагестан;0,57;0,52;100;1,54
Побережье Чёрного моря ниже г. Сухуми, Колхидская низменность, склоны Кавказа до 2000 м;0,54;0,5;90;1,33
Бассейн р. Куры, восточная часть Малого Кавказа, Талышский хребет;0,63;0,52;90;1,33
Северо-западная и центральная часть Армении;0,67;0,53;100;1,33
Ленкорань;0,44;0,38;171;2,2
